movie_title,year,episode,song_title,artists,song_id,track_id
robots,"[2005, 2003]",nan,(there's gotta be) more to life ((jason nevins club creation)),harvey mason jr.+damon e. thomas+sabelle breer+kevin kadish+lucy woodward+stacie orrico,382960.0,596685.0
trouble with the curve,2012,nan,prison bound blues (lp version),josh white+arrangement with warner music group film+tv licensing,494635.0,703543.0
soul train,"[1971, 1978]",jerry butler/rick james (#8.14),you and i,rick james,427144.0,220241.0
gossip girl,2007,dr. estrangeloved (#3.19),slang tang,discovery,562164.0,100676.0
hinter gittern - der frauenknast,"[1997, 1996]",pakt mit dem teufel (#13.15),let's make a night to remember,bryan adams,789157.0,110200.0
george burns 90th birthday party: a very special special,"[1986, 1982]",nan,perhaps love,john denver,785708.0,450213.0
supernatural,"[2005, 1975]",asylum (#1.10),hey you,bachman-turner overdrive,215125.0,229797.0
the drifter,"[1965, 2005]",mountaineers,count me out,jack pruett+marty robbins,816991.0,242902.0
valley girl,"[1983, 1982]",nan,i melt with you,modern english,869285.0,711326.0
stranger things,"[2016, 1982]",chapter two: the weirdo on maple street (#1.2),i melt with you,modern english,869285.0,226930.0
very bad things,1998,nan,supernatural thing (part 1),patrick grant+gwen guthrie+ben e. king,87191.0,713057.0
eminem: live from new york city,2005,nan,just don't give a f***,eminem,807116.0,429901.0
love  marilyn,2012,nan,after you get what you want (you dont want it),irving berlin+marilyn monroe,490598.0,526032.0
theres no business like show business,1954,nan,after you get what you want (you dont want it),irving berlin+marilyn monroe,490598.0,693376.0
nearly famous,"[2007, 2008]",nan,just for tonight,one night only,945687.0,165678.0
comedy central presents,"[1998, 2000]",stephen lynch (#3.9),lullaby (the divorce song),stephen lynch,691428.0,48258.0
a tu dï¿½a le falta aldo,2010,los tres/blanca lewin/jaime ravinet,quien es la que viene allï¿½,roberto parra+los tres,944564.0,6359.0
stuart little 2,2002,nan,another small adventure,raine maida+chantal kreviazuk,343106.0,632860.0
the hoax,"[2006, 1970]",nan,up around the bend,john fogerty+creedence clearwater revival,302010.0,665042.0
from the earth to the moon,"[1998, 1970]",we interrupt this program (#1.8),up around the bend,creedence clearwater revival+john fogerty,302010.0,93598.0
top of the pops,"[1964, 2002]",(2002-11-01),the zephyr song (album version),red hot chili peppers,139890.0,303756.0
kick-ass,"[2010, 2008]",nan,can't go back,primal scream,340489.0,499898.0
de lautre cï¿½tï¿½ du lit,"[2008, 1974]",nan,lovin' you,minnie riperton,205490.0,407253.0
the brass teapot,"[2012, 1995]",nan,haw,david eugene edwards+jean yves tola+kevin soll+sixteen horsepower,556718.0,651082.0
the drifter,"[1965, 1991]",virginia,streets of laredo,marty robbins,833955.0,242957.0
this is your life,"[1969, 1992]",noddy holder (#37.13),i wish it could be christmas everyday,wizzard,599999.0,293570.0
whatever happened to harold smith?,"[1999, 1992]",nan,i wish it could be christmas everyday,roy wood+wizzard,599999.0,721351.0
travelling light,2003,nan,part three into paper walls,russell morris,767519.0,702294.0
spl: sha po lang,"[2005, 1996]",nan,the trick,the prodigy,233818.0,601465.0
of yesterday and tomorrow,"[2009, 2001]",nan,d.c.b.a. - 25,paul kantner+jefferson airplane,488048.0,563319.0
memï¿½ries de la tele,2007,(#1.8),cuando brille el sol,manuel espaï¿½a+joaquï¿½n almendros+la guardia,64339.0,151297.0
37ï¿½2 le matin,1986,nan,un coucher de soleil accrochï¿½ dans les arbres,le grand orchestre de gabriel yared,702520.0,329668.0
waterloo road,"[2006, 2007]",spirit child (#8.2),hands playing butterfly,efterklang,565384.0,316174.0
skate 3,2010,nan,born to lose (1976 demo),johnny thunders & the heartbreakers,398249.0,617532.0
the porter wagoner show,"[1961, 1993]",george morgan (#1.222),a room full of roses,george morgan,667837.0,261395.0
metal evolution,"[2011, 1991]",extreme metal (#1.12),day of suffering,morbid angel vs the berzerker,143256.0,152515.0
begierde - mord im zeichen des zen,"[2015, 2003]",nan,drive,apocalyptica,248850.0,363637.0
oasis: dig out your soul in the streets,2009,nan,(get off your) high horse lady,noel gallagher+oasis,368765.0,562301.0
forsthaus falkenau,"[1989, 1999]",biofieber (#15.3),bella (she's all i ever had),ricky martin,661572.0,90864.0
singles,"[1992, 1983]",nan,may this be love,jimi hendrix,911600.0,616601.0
eastenders,"[1985, 1986]",(#1.226),let me know,maxi priest,755862.0,77998.0
pink floyd video anthology,"[2003, 1971]",nan,see emily play (1996 digital remaster),syd barrett+pink floyd,476926.0,577102.0
joe strummer: the future is unwritten,"[2007, 1971]",nan,see emily play (1996 digital remaster),syd barrett+pink floyd,476926.0,492825.0
ochï¿½ntame... otra vez,"[2014, 1986]",la juventud canta y baila (#2.16),what you get is what you see,terry britten+graham lyle+tina turner,207849.0,169946.0
marianne faithfull: dreaming my dreams,"[2000, 1999]",nan,great expectations,marianne faithfull+daniel lanois,83740.0,533664.0
red scorpion,"[1988, 1956]",nan,all around the world,little willie john,39483.0,591209.0
the brontes at the bbc,2016,nan,smoke on the water (live - us b-side edit) (2010 digital remaster),deep purple,930270.0,651446.0
grand theft auto: san andreas,"[2004, 1988]",nan,promised land,joe smooth,134646.0,457922.0
homicide: life on the street,"[1993, 1996]",the heart of a saturday night (#5.7),not ready yet,dj paul edge+the eels,900265.0,112847.0
kickin it old skool,"[2007, 2006]",nan,yeah yeah,jon pearn+nick bridges+nick clow+luciana caporaso+nathan thomas+bodyrox with vocals by luciana caporaso,549761.0,500030.0
one hit wonderland,"[2012, 1985]",i ran (so far away) by a flock of seagulls (#2.7),who's that girl (she's got it),frank maudsley+ali score+michael score+a flock of seagulls,938068.0,171659.0
cmt insider,"[2004, 2005]",(2009-07-18),summertime,kenny chesney,613570.0,38837.0
circuit,"[2001, 1999]",nan,seven cities,solar stone+rich mowatt+andy bury for solar stone productions,704837.0,392468.0
watership down,1978,nan,bright eyes,mike batt+art garfunkel,60587.0,718213.0
sleepless in seattle,"[1993, 2008]",nan,a wink and a smile ( from: sleepless in seattle ),marc shaiman+ramsey mclean+harry connick jr.,535855.0,618748.0
jericho,"[2006, 2003]",long live the mayor (#1.7),older chests,damien rice,700053.0,124173.0
2010 soul train awards,2010,nan,hold you,gyptian  as windel edwards+dion johnson ricardo+gyptian,843679.0,328265.0
9 dead gay guys,"[2002, 1993]",nan,bring me your cup,ub40,237279.0,331000.0
back in time for dinner,"[2015, 1991]",the 1990s (#1.5),dizzy,vic reeves+the wonder stuff,76518.0,21251.0
we could be kings,"[2005, 1991]",nan,dizzy,freddy weller+tommy roe+vic reeves+the wonder stuff,76518.0,718639.0
one tree hill,"[2003, 2006]",you call it madness  but i call it love (#4.16),nux vomica,the veils,671630.0,174292.0
observe and report,"[2009, 1966]",nan,over under sideways down,chris dreja+keith relf+jeff beck+jim mccarty+paul samwell-smith+the yardbirds,467092.0,562777.0
welcome to the 80s,"[2009, 2006]",gothic  industrial und black metal (#1.5),a dying god coming into human flesh,celtic frost,414476.0,317074.0
late show with david letterman,"[1993, 2010]",(#17.103),this addiction,matt skiba+dan andriano+derek grant+alkaline trio,448387.0,135300.0
getting it on,1983,nan,sea cow,col. bruce hampton and the late bronze age,758802.0,451052.0
one tree hill,"[2003, 2006]",the same deep water as you (#4.1),everything'll be alright (will's lullaby),joshua radin,824490.0,173914.0
the doors,1991,nan,indian summer (lp version),the doors,456992.0,656990.0
t4 on the beach 2009,2009,nan,i'm not alone,calvin harris,571594.0,638167.0
rock band,"[2007, 2004]",nan,perfekte welle,dedi herde+simon triebel+juli,76168.0,596951.0
hollywood a go go,"[1964, 2000]",(#1.38),moonlight and roses,edwin h. lemare+ben black+charles daniels+black+lemare+moret+vic dana,127532.0,111944.0
the paul ogrady show,"[2004, 2009]",(2009-12-04),i'll see you again,westlife,137713.0,260051.0
so you think you can dance canada,"[2008, 2009]",top 10 results (#4.19),girls on the dance floor,the far east movement featuring 24/8,503644.0,215828.0
electric light orchestra: out of the blue tour live at wembley,"[1978, 1977]",nan,turn to stone,jeff lynne+electric light orchestra,342924.0,428393.0
led zeppelin dvd,"[2003, 2007]",nan,babe i'm gonna leave you (2007 remastered lp version),jimmy page+robert plant+led zeppelin,304694.0,514553.0
alles wegen paul,"[2001, 1999]",nan,kudi kudi,jasbir jassi,474093.0,344494.0
voices,"[1979, 1978]",nan,champagne jam,the atlanta rhythm section,13348.0,714969.0
dig!,"[2004, 2007]",nan,something for you,sarabeth tucek,579364.0,415043.0
unter uns: die highlights,1999,nan,if you believe - osio mix (osio radio edit for usa),sasha,601729.0,709805.0
beauty and the beast,"[2012, 1970]",shotgun wedding (#3.8),stoned love,kenny thomas+the supremes,247510.0,24806.0
joanne lees: murder in the outback,"[2007, 1980]",nan,come around,mental as anything,277630.0,492604.0
top of the pops,"[1964, 1976]",(1976-10-07),i'll meet you at midnight,nicky chinn+mike chapman+smokie,253613.0,298835.0
trainspotting,"[1996, 1982]",nan,temptation,heaven 17,823259.0,701609.0
mad dog time,"[1996, 1997]",nan,somethings gotta give (end credits),johnny mercer+royal crown revue,565697.0,528464.0
xx/xy,"[2002, 1990]",nan,kool thing,sonic youth,64999.0,728006.0
country style  u.s.a.,"[1957, 1990]",(#3.7),you are the one,carl smith,428358.0,50932.0
peeples,"[2013, 2004]",nan,say how i feel,rhian benson,662550.0,573801.0
hollywood singing and dancing: a musical history - the 1930s: dancing away the great depression,2009,nan,i want you - i need you,harvey brooks+mae west,868857.0,472455.0
bunyip the movie,"[2013, 2007]",nan,travel fair,michael trillions,692431.0,380223.0
scandal,"[1989, 1994]",nan,those lazy_ hazy_ crazy days of summer (1990 digital remaster),nat king cole+hans carste,659419.0,605668.0
the other sister,"[1999, 1971]",nan,i feel the earth move,carole king,918219.0,677087.0
go fly a kite,"[1973, 1971]",nan,i feel the earth move,carole king,918219.0,453621.0
speed 2: cruise control,"[1997, 1971]",nan,i feel the earth move,carole king+leah andreone,918219.0,625745.0
rockpalast,"[1974, 1997]",rammstein - 11. bizarre festival kï¿½ln 1997,bestrafe mich,rammstein,278543.0,197177.0
crossing the lake,"[2010, 1989]",nan,clouds below your knees,ray lynch,150143.0,401180.0
bones,"[2001, 1991]",nan,the love we had (stays on my mind),terry callier+larry wade+the dells,754155.0,373271.0
90210,"[2008, 2007]",help me  rhonda (#1.15),better to be,liam finn,894183.0,4872.0
shindig!,"[1964, 1993]",(#1.4),stagger lee,tommy quickly,414431.0,210722.0
vidas en vivo,"[2008, 1997]",nan,pasa,pedro guerra,284436.0,713601.0
clutch: full fathom five,2008,nan,promoter (of earthbound causes),clutch,813812.0,394423.0
friday night lights,"[2006, 2007]",seeing other people (#2.8),i made a resolution,sea wolf,835969.0,92665.0
green day: rock band,"[2010, 1994]",nan,sassafras roots (album version),green day,467180.0,458814.0
freddie mercury  the untold story,"[2000, 1984]",nan,love kills (wolf euro mix),freddie mercury+giorgio moroder,466193.0,444883.0
waterloo road,"[2006, 2005]",happy ever after (#9.10),you were there with me,four tet,354636.0,315889.0
eat pray love,"[2010, 1963]",nan,midnight blue,kenny burrell,323050.0,424835.0
big money hustlas,"[2000, 1999]",nan,bring it on,mike e. clark+violent j+shaggy 2 dope+insane clown posse,582842.0,367347.0
gossip girl,2007,the empire strikes jack (#3.16),not exactly,deadmau5,83956.0,101010.0
the nat king cole show,1954,(#1.6),repeat after me,gordon jenkins+nat king cole,442478.0,257472.0
the paul ogrady show,"[2004, 2009]",(2009-12-10),doesn't mean anything,alicia keys+kerry brothers,526493.0,260052.0
biker boyz,2003,nan,liliquoi moon,me'shell ndegeocello,831712.0,367705.0
torchwood,2006,small worlds (#1.5),ooh la (lowlands acoustic session),the kooks,723903.0,304098.0
lay the favorite,"[2012, 1974]",nan,it doesn't matter anymore,paul anka+linda ronstadt,444217.0,512819.0
the last picture show,"[1971, 1989]",nan,slow poke,pee wee king+redd stewart+chilton price,20248.0,669298.0
soul train,"[1971, 1969]",gladys knight & the pips/eddie kendricks/the honey cone/bobby hutton (#1.1),friendship train,gladys knight & the pips,99496.0,220217.0
selena live: the last concert,1995,nan,ya ves,a.b. quintanilla+pete astudillo+selena,270743.0,608557.0
diverso da chi?,2009,nan,honey love,clyde mcphatter+the drifters  with clyde mcphatter,831.0,416827.0
in a world...,"[2013, 1978]",nan,right down the line,gerry rafferty,63058.0,484092.0
totally gay!,2003,nan,jump around (tommy trash edit),house of pain vs. micky slim,515642.0,700684.0
cold case,2003,whos your daddy (#2.5),jump around (tommy trash edit),house of pain vs. micky slim,515642.0,47986.0
det sjunde skottet,"[1998, 1997]",nan,trespasser,antiloop,677309.0,412381.0
weekend watchdog,"[1997, 1999]",(#6.10),cold shoulder,boy george - culture club,573421.0,316866.0
black snake moan,"[2006, 1994]",nan,lonesome in my home,junior kimbrough and the soul blues boys,841136.0,369416.0
ghost whisperer,"[2005, 2007]",devils bargain (#5.7),wicked (album),jupiter rising,958050.0,96672.0
making your mind up,"[2006, 2005]",nan,my number one,christos dantis+natalia germanou+helena paparizou,381075.0,531208.0
heartbreak hotel,"[2006, 2005]",nan,my number one,helena paparizou,381075.0,466647.0
betty blowtorch: and her amazing true life adventures,"[2003, 1994]",nan,funeral crashing tonight,butt trumpet,843998.0,365763.0
baywatch,"[1989, 2008]",tower of power (#4.10),just another day (radio edit),jon secada,195758.0,24625.0
top of the pops,1964,(2001-04-27),funny break (one is enough) layo and bushwacka! up remix,paul hartnoll+phil hartnoll+naomi bedford+andrew bramley+orbital,510817.0,303654.0
harry lauder singing same as his father was before him,1914,nan,the same as his father did before him,sir harry lauder,599261.0,464839.0
amys orgasm,"[2001, 1996]",nan,big sky,joy askew+shane fontayne,599675.0,348073.0
top of the pops,"[1964, 1980]",(1980-05-29),let's get serious,jermaine jackson,11180.0,301156.0
ea skate 2,"[2009, 1996]",nan,eat the rich,motï¿½rhead,897433.0,424099.0
so you think you can dance,"[2005, 1994]",the top 18 perform (#6.12),for a reason,zhanï¿½,464773.0,216760.0
campeones de la vida,"[1999, 1998]",(#1.69),el revelde,la renga,208246.0,41231.0
knuckleface jones,"[1999, 2005]",nan,oklahoma stomp,spade cooley+his orchestra,759679.0,503316.0
stoopnocracy,"[1933, 1992]",nan,please,ralph rainger+budd hulick  imitating bing crosby,173652.0,631127.0
full throttle,1995,nan,legacy,the gone jackals,879024.0,447254.0
the music for unicef concert: a gift of song,"[1979, 1969]",nan,rhymes and reasons,john denver,166656.0,674770.0
the 58th annual academy awards,"[1986, 1988]",nan,sweet dreams,patsy cline / the jordanaires,796540.0,644887.0
snowriders,"[1996, 2007]",nan,mountains win again,blues traveler,884521.0,620298.0
urgh! a music war,1981,nan,driven to tears [live from live earth],sting+the police,134114.0,710396.0
the loveless,"[1981, 1976]",nan,raunchy,bill justis,288910.0,671838.0
harry chapin: the final concert,1981,nan,a better place to be (lp version),harry chapin,404223.0,464802.0
shadow company,"[2006, 2005]",nan,barnowl,caribou (formerly dan snaith's manitoba),528615.0,610383.0
cougar town,2009,letting you go (#1.21),something beautiful (album version),needtobreathe,760855.0,50520.0
when in rome,"[2010, 2009]",nan,something beautiful (album version),bear rinehart+bo rinehart+needtobreathe+arrangement with warner music group film+tv licensing,760855.0,722054.0
the killer inside me,"[2010, 1956]",nan,fever,eddie cooley+otis blackwell+little willie john,498075.0,668076.0
conan,2010,elijah wood/john fogerty/richard thompson (#5.153),have you ever seen the rain?,john fogerty,216250.0,48784.0
the longest yard,2005,nan,have you ever seen the rain?,john fogerty+creedence clearwater revival,216250.0,671324.0
danville 2nd ward young men,2008,wintertime 2011-2012 (#4.1),have you ever seen the rain?,john fogerty+creedence clearwater revival,216250.0,60657.0
monster,"[2003, 1988]",nan,all she wants is (us master mix),nick rhodes+john taylor+duran duran,188972.0,544270.0
across the universe,2007,nan,if i fell,john lennon+paul mccartney+evan rachel wood,947356.0,339349.0
achtung  fertig  charlie!,2003,nan,ti offro da bere,gianni morandi,843849.0,339206.0
american wasteland,"[2005, 2007]",nan,iron tusk [live],mastodon,732713.0,347479.0
one tree hill,"[2003, 2009]",you are a runner  and i am my fathers son (#7.10),gravitate,lou barlow,44242.0,174288.0
the wedding singer,"[1998, 1984]",nan,hold me now,tom bailey+joe leeway+alannah currie+the thompson twins,716886.0,690748.0
10 things i hate about you,"[1999, 1984]",nan,hold me now,alannah currie+joe leeway+tom bailey+the thompson twins,716886.0,326520.0
os homens sï¿½o de marte... e ï¿½ pra lï¿½ que eu vou,"[2014, 2003]",(#1.1),agora sï¿½ falta vocï¿½,maria rita,858964.0,175892.0
entourage,2004,gotcha! (#3.16),weekend jumpoff (amended album version),kevin michael,617245.0,83210.0
six by sondheim,2013,nan,do i hear a waltz?/perfectly lovely couple,richard rodgers+stephen sondheim+elizabeth allen rosenbaum+original broadway cast,473724.0,617328.0
the dinah shore chevy show,"[1956, 1999]",the dinah shore show (#7.8),i've got you under my skin,cole porter+dinah shore+andrï¿½ previn,149915.0,242261.0
movistar mï¿½sica,"[2009, 1999]",joe vasconcellos,la funa (vivo),joe vasconcellos,751611.0,159279.0
the disco ball,2003,nan,working my way back to you (lp version),denny randell+sandy linzer+the spinners,139695.0,656608.0
barbershop,"[2002, 2004]",nan,it takes more,goapele mohlabane+j. mason,924226.0,359784.0
stag hunt,"[2015, 2008]",nan,til the weekend comes,mark underwood+yeti,84355.0,627613.0
quest for camelot,1998,nan,i stand alone,carole bayer sager+david foster+steve perry,571931.0,586954.0
date night,2010,nan,heartbreak warfare,john mayer+arrangement with sony music licensing,810649.0,406178.0
one tree hill,"[2003, 2005]",a multitude of casualties (#3.5),sleeping song,sï¿½bastien schuller,211900.0,172462.0
music and lyrics,2007,nan,never ending story (club mix),giorgio moroder+keith forsey+limahl,695118.0,548579.0
friday night lights,"[2006, 2008]",underdogs (#3.12),already down,awesome color,676788.0,92769.0
sex & drugs & rock & roll,"[2010, 1977]",nan,plaistow patricia,ian dury+stephen nugent+andy serkis+the blockheads,282388.0,609771.0
st trinians 2: the legend of frittons gold,2009,nan,make it easy,sarah harding+miranda cooper+brian higgins+nick coler+timothy powell+eliza dodd-noble+matthew gray,555478.0,627446.0
wwf wrestlemania 2000,1999,nan,real american,rick derringer,334196.0,716072.0
roots & wings,"[2016, 2009]",nan,a seated night (ambient mix),moby,516958.0,598870.0
the shield,"[2002, 2000]",partners (#2.3),the whole truth,michael penn,695229.0,266961.0
sister  sister,"[1994, 1997]",prom night (#5.20),they don't know,jon b.+tim kelley+bob robinson,61049.0,213121.0
the lost boys,"[1987, 1986]",nan,ain't got no home,clarence 'frogman' henry,287083.0,671536.0
van halen live without a net,1986,nan,why can't this be love (remastered version),edward van halen+alex van halen+michael anthony+sammy hagar,44348.0,711638.0
music nuggets,"[2010, 2007]",(2011-12-16),einfach sein,die fantastischen vier,734225.0,160995.0
bruce springsteen and the e street band: live in new york city,2001,nan,the prisoner,bruce springsteen,558578.0,378700.0
top of the pops,"[1964, 1998]",(1998-07-31),strange glue,owen powell+catatonia,221711.0,303068.0
around the fire,"[1998, 1970]",nan,red clay,freddie hubbard,647660.0,353042.0
whos minding the store?,1963,nan,the typewriter (digitally remastered),leroy anderson & his pops concert orchestra,147260.0,723612.0
hail,"[1972, 1959]",nan,the battle of new orleans,jimmie driftwood+johnny horton,827908.0,461917.0
som brasil,"[2007, 1985]",cazuza (#2.3),exagerado,cazuza+leoni+ezequiel neves+bidï¿½ ou balde,778933.0,218645.0
22nd annual trumpet awards,2014,nan,i need you now (key-ab-premiere performance plus w/ background vocals),smokie norful,528501.0,328752.0
australian idol,"[2003, 2005]",up close & personal special (#3.27),per sempre (for always),anthony callea+steve balsamo+ben robbins,83039.0,19549.0
the x factor,"[2004, 2009]",(#5.27),does your mother know?,eoghan quigg,68905.0,285952.0
drei in einem bett,2013,nan,sing it back,moloko,498598.0,421771.0
iron maiden: flight 666,2009,nan,hallowed be thy name (live '01),steve harris+iron maiden,103569.0,486750.0
so you think you can dance,"[2005, 2007]",top 6 perform (#8.20),after tonight,justin nozuka,107644.0,217646.0
celebridade,2003,(#1.25),olha e nï¿½o me olha,jorge vercilo+lulu joppert,818970.0,43632.0
top of the pops: the story of 1979,"[2014, 1979]",nan,he's the greatest dancer,bernard edwards+nile rodgers+sister sledge,683714.0,700087.0
headliners,2002,richard ashcroft,science of silence,richard ashcroft,613431.0,107538.0
glitz  glam  geminis. on the red carpet.,2008,nan,keeps gettin' better,christina aguilera,723853.0,453227.0
singstar pop,2007,nan,on the way down (live at sessions@aol version),ryan cabrera,946450.0,616416.0
parenthood,"[2010, 1991]",these are the times we live in (#6.7),space cowboy (digitally remastered 90),steve miller+ben sidran+steve miller band,953977.0,178320.0
bridget joness diary,"[2001, 2000]",nan,out of reach,gabrielle   / jonathan shorten+gabrielle,576791.0,376722.0
highway 15,2013,nan,never goin' back (to nashville anymore,john stewart+dave crossland,305202.0,470463.0
beavis and butt-head,"[1993, 2000]",choke (#5.4),close my eyes forever,lita ford  with ozzy osbourne,832830.0,24999.0
taxi para tres,"[2001, 1999]",nan,ciudad traicionera,joe vasconcellos,577836.0,640378.0
ne fais pas ï¿½a!,"[2004, 2007]",nan,the beat goes on (mousse t remix),alain wisniak+christophe le friant+bob sinclar,171298.0,553649.0
top of the pops,"[1964, 1996]",(1996-04-18),fastlove,george michael,699361.0,302859.0
the simpsons,1989,he loves to fly and he dohs (#19.1),say you  say me,lionel richie tribute band,618074.0,267712.0
white nights,1985,nan,say you_ say me,lionel richie tribute band,618074.0,723144.0
opry video classics: songs that topped the charts,"[2007, 1963]",nan,i forgot more (than you'll ever know about him),cecil a. null+skeeter davis,182614.0,567227.0
country style  u.s.a.,"[1957, 1963]",(#3.3),i forgot more (than you'll ever know about him),skeeter davis,182614.0,50916.0
waterloo road,"[2006, 2003]",father figure (#9.9),wayward bob,bonobo,528427.0,315801.0
men in trees,"[2006, 2007]",nice day for a dry wedding: part 2 (#2.6),let somebody in (alt version with strings by robert kirby),the magic numbers,751843.0,152112.0
greys anatomy,"[2005, 2008]",dream a little dream of me: part 1 (#5.1),white horse,taylor swift,3835.0,102670.0
depeche mode: the world we live in and live in hamburg,1985,nan,something to do,martin l. gore,531986.0,410744.0
top of the pops,1964,(1976-11-24),hey mr dream maker (2002 digital remaster),cliff richard,793366.0,298873.0
orgazmo,"[1997, 1998]",nan,work the angles,rakaa taylor+michael perretta+k. matlin+s. gordy+dilated peoples,675338.0,567550.0
hello ladies,"[2013, 1977]",the drive (#1.8),marriage bureau rendezvous,graham gouldman+eric stewart+10cc,709287.0,108174.0
7th heaven,1996,i love lucy (#7.15),isn't it romantic (lp version),richard rodgers+lorenz hart+bobby short,845944.0,3806.0
nirvana live! tonight! sold out!!,1994,nan,sliver,kurt cobain+nirvana,941375.0,557594.0
divine secrets of the ya-ya sisterhood,"[2002, 1993]",nan,dimming of the day,richard thompson+linda thompson,826002.0,416881.0
threesome,"[1994, 1989]",nan,is your love strong enough?,bryan ferry,493760.0,696141.0
absolutely fabulous,1992,the last shout: part 1 (#3.7),we gotta get outta this place (lp version),barry mann+cynthia weil+marianne faithfull,278608.0,7439.0
the joy of the single,2012,nan,we gotta get outta this place (lp version),barry mann+cynthia weil+the animals,278608.0,667641.0
australian story,1996,a very good rascal (#19.13),we gotta get outta this place (lp version),barry mann+cynthia weil+the angels 100%+peter garrett,278608.0,19620.0
the british invasion returns,2000,nan,we gotta get outta this place (lp version),barry mann+cynthia weil+eric burdon+the new animals,278608.0,651331.0
the doe boy,"[2001, 1999]",nan,space age love song (astralasia remix),frank maudsley+paul reynolds+ali score+a flock of seagulls,380899.0,656804.0
one hit wonderland,"[2012, 1999]",i ran (so far away) by a flock of seagulls (#2.7),space age love song (astralasia remix),frank maudsley+paul reynolds+ali score+michael score+a flock of seagulls,380899.0,171651.0
stoked: the rise and fall of gator,"[2002, 1999]",nan,space age love song (astralasia remix),a flock of seagulls+ali score   / michael score    / frank maudsley   / paul reynolds,380899.0,630825.0
kickin it old skool,"[2007, 1999]",nan,space age love song (astralasia remix),frank maudsley+paul reynolds+ali score+michael score+a flock of seagulls+arrangement with sony bmg music entertainment,380899.0,500003.0
wonderland,"[2003, 1981]",nan,girls on film,nick rhodes+simon le bon+john taylor+roger taylor+andy taylor+duran duran,503202.0,726780.0
the vampire diaries,"[2009, 2008]",christmas through your eyes (#6.10),blue christmas,dustin kensrue,557665.0,281022.0
malï¿½ 360ï¿½,"[2015, 2003]",nan,ahora tï¿½,malï¿½,234829.0,531745.0
mulheres apaixonadas,"[2003, 1978]",nan,you belong to me,carly simon+michael mcdonald+jennifer lopez,567670.0,160392.0
why did i get married?,"[2007, 1978]",nan,you belong to me,carly simon+michael mcdonald+anita baker+arrangement with warner strategic marketing,567670.0,723869.0
top of the pops,"[1964, 1995]",(1995-10-05),never knew love,oleta adams,678380.0,302594.0
spice girls live at wembley stadium,"[1998, 1997]",nan,spice up your life (murk spider beats),spice girls+matt rowe+richard stannard,728304.0,625966.0
spice girls: too much is never enough,1997,nan,spice up your life (morales radio mix),spice girls+matt rowe+richard stannard,728304.0,626042.0
the tennessee ernie ford show,"[1956, 1996]",tommy sands (#1.20),teenage crush,tommy sands,951546.0,272297.0
jennifer lopez in concert,2001,nan,ain't it funny,jennifer lopez+mark rooney,612512.0,491299.0
one tree hill,"[2003, 2007]",please  please  please let me get what i want (#5.8),bright red star,stereophonics,596126.0,173520.0
vacanze di natale 95,1995,nan,me and you,frisco / alexia,582170.0,710912.0
home alone 3,1997,nan,tall cool one,r. dangel+j. greek+k. morrill+the wailers,769823.0,473031.0
how i met your mother,"[2005, 2004]",platonish (#9.9),it's only time,the magnetic fields,706572.0,114282.0
opry video classics: queens,"[2007, 1973]",nan,satin sheets,jeanne pruett,755323.0,567218.0
no sleep till sheffield: pulp go public,1995,nan,mis-shapes,pulp,420498.0,558242.0
the devils rejects,"[2005, 1975]",nan,saturday night special,lynyrd skynyrd+edward king+ronnie van zant,513363.0,656341.0
supernatural,"[2005, 1975]",what is and what should never be (#2.20),saturday night special,lynyrd skynyrd,513363.0,230151.0
hollow man,2000,nan,power struggle (album version),sunna,443616.0,471972.0
the adventures of ozzie & harriet,1952,top gun (#6.26),believe what you say,dorsey burnette+johnny burnette+ricky nelson,679704.0,235611.0
marienhof,"[1992, 1966]",kabale und liebe (#1.26),when a man loves a woman,calvin lewis+andrew wright+percy sledge,573369.0,149004.0
valentines day,"[2010, 1966]",nan,when a man loves a woman,calvin lewis+andrew wright+percy sledge+arrangement with fine gold music,573369.0,711218.0
zusje,"[1995, 1966]",nan,when a man loves a woman,percy sledge,573369.0,732925.0
zusje,"[1995, 1966]",nan,when a man loves a woman,andrew wright+calvin lewis+percy sledge,573369.0,732933.0
hannah montana & miley cyrus: best of both worlds concert,"[2008, 2007]",nan,see you again,antonina armato+miley cyrus+tim james,787644.0,463254.0
the singles collection: bonus dvd,"[2009, 2008]",nan,womanizer,britney spears,54946.0,684407.0
reading and leeds festival,"[2009, 2003]",radiohead (#1.6),there there (first demo),radiohead,176608.0,193200.0
yu-gi-oh! the abridged series,"[2006, 1999]",egyptian exhibition expo 2007 (#2.2),canned heat,jamiroquai,119420.0,323085.0
wrestlemania x8,"[2002, 1980]",nan,the hammer,motï¿½rhead,737685.0,727387.0
one hit wonderland,"[2012, 2001]",rico suave by gerardo (#1.5),escape,kara dioguardi+enrique iglesias+steve morales+david siegel performed by enrique iglesias,101643.0,171898.0
bates motel,"[2013, 1959]",theres no place like home (#4.7),beyond the sea (la mer),bobby darin,521770.0,23892.0
tequila sunrise,"[1988, 1959]",nan,beyond the sea,charles trenet+albert lasry+bobby darin,521770.0,641741.0
covert affairs,2010,here comes your man (#4.5),round about midnight,miles davis quintet,47206.0,51134.0
young at heart,"[1954, 1993]",nan,ready  willing and able,floyd huddleston+al rinker+dick gleason+doris day,77080.0,730875.0
art of conflict,"[2012, 1990]",nan,heaven's gate,rory gallagher,689504.0,353315.0
